game_name,top_topics
APEX Legends,"topic_1:0.283, topic_0:0.236, topic_5:0.136, topic_2:0.085, topic_6:0.073"
Anthem,"topic_8:0.293, topic_5:0.287, topic_4:0.128, topic_1:0.103, topic_0:0.065"
Assasin's Creed Unity,"topic_8:0.259, topic_0:0.229, topic_6:0.123, topic_4:0.119, topic_1:0.100"
Baldur's Gate 3,"topic_4:0.314, topic_0:0.218, topic_8:0.188, topic_1:0.076, topic_2:0.068"
Batman: Arkham Knight,"topic_0:0.274, topic_8:0.259, topic_4:0.153, topic_2:0.099, topic_1:0.072"
Battlefield 2042,"topic_5:0.233, topic_0:0.201, topic_1:0.152, topic_6:0.120, topic_4:0.093"
Battlefield 4,"topic_0:0.235, topic_6:0.152, topic_5:0.140, topic_1:0.135, topic_4:0.133"
Call of Duty: Modern Warfare III,"topic_5:0.293, topic_0:0.192, topic_1:0.167, topic_4:0.095, topic_6:0.091"
Call of Duty: Warzone,"topic_0:0.234, topic_1:0.206, topic_5:0.169, topic_6:0.151, topic_2:0.071"
Counter_Strike 2,"topic_0:0.337, topic_1:0.277, topic_2:0.097, topic_4:0.071, topic_6:0.061"
Crash Bandicoot 4: It’s About Time,"topic_8:0.282, topic_4:0.171, topic_0:0.152, topic_1:0.117, topic_6:0.098"
Cuphead,"topic_0:0.281, topic_8:0.200, topic_4:0.153, topic_2:0.114, topic_1:0.087"
Cyberpunk 2077,"topic_4:0.262, topic_0:0.210, topic_8:0.200, topic_2:0.083, topic_6:0.069"
DOTA 2,"topic_0:0.511, topic_1:0.143, topic_2:0.069, topic_4:0.068, topic_3:0.050"
Dark Souls (Remastered),"topic_4:0.294, topic_0:0.208, topic_8:0.144, topic_2:0.131, topic_1:0.086"
Delta Force (2024),"topic_1:0.226, topic_5:0.215, topic_0:0.179, topic_8:0.115, topic_6:0.085"
Devil May Cry 5,"topic_0:0.229, topic_4:0.198, topic_2:0.188, topic_8:0.169, topic_1:0.081"
EA SPORTS FC™ 25,"topic_1:0.349, topic_0:0.195, topic_6:0.134, topic_5:0.098, topic_4:0.075"
Escape From Tarkov,"topic_1:0.401, topic_2:0.140, topic_6:0.113, topic_5:0.112, topic_4:0.080"
Fallout 76,"topic_5:0.264, topic_0:0.196, topic_4:0.122, topic_8:0.116, topic_1:0.096"
Fortnite,"topic_1:0.306, topic_5:0.246, topic_8:0.107, topic_0:0.099, topic_4:0.086"
Furi,"topic_8:0.334, topic_0:0.158, topic_4:0.142, topic_2:0.129, topic_1:0.102"
Genshin Impact,"topic_1:0.309, topic_8:0.245, topic_5:0.164, topic_4:0.088, topic_2:0.073"
Getting Over It with Bennett Foddy,"topic_0:0.280, topic_4:0.175, topic_1:0.146, topic_2:0.136, topic_8:0.081"
Halo: The Master Chief Collection,"topic_4:0.350, topic_0:0.216, topic_1:0.086, topic_6:0.070, topic_8:0.069"
Helldivers 2,"topic_3:0.222, topic_0:0.174, topic_7:0.173, topic_5:0.092, topic_6:0.077"
Hogwarts Legacy,"topic_8:0.381, topic_0:0.178, topic_4:0.149, topic_6:0.082, topic_1:0.066"
Jump King,"topic_0:0.289, topic_2:0.167, topic_4:0.161, topic_1:0.119, topic_8:0.107"
League of Legends,"topic_1:0.504, topic_2:0.153, topic_5:0.102, topic_0:0.075, topic_4:0.046"
Mass Effect: Andromeda,"topic_8:0.370, topic_4:0.173, topic_0:0.111, topic_1:0.105, topic_5:0.083"
Mighty No. 9,"topic_8:0.195, topic_0:0.170, topic_4:0.160, topic_1:0.138, topic_5:0.129"
Mortal Shell,"topic_8:0.302, topic_4:0.173, topic_0:0.119, topic_2:0.117, topic_1:0.108"
No Man's Sky,"topic_8:0.227, topic_4:0.227, topic_0:0.170, topic_5:0.144, topic_1:0.067"
Overwatch 2,"topic_1:0.369, topic_2:0.167, topic_0:0.158, topic_5:0.113, topic_4:0.062"
PUBG: Battlegrounds,"topic_0:0.282, topic_1:0.238, topic_5:0.099, topic_2:0.086, topic_6:0.086"
PalWorld,"topic_5:0.247, topic_0:0.228, topic_8:0.163, topic_4:0.104, topic_2:0.085"
Rainbow 6: Siege,"topic_0:0.378, topic_1:0.179, topic_2:0.133, topic_4:0.083, topic_6:0.073"
Sekiro: Shadows Die Twice,"topic_4:0.240, topic_0:0.211, topic_8:0.200, topic_2:0.143, topic_1:0.082"
SimCity (2013),"topic_8:0.252, topic_1:0.235, topic_5:0.190, topic_4:0.149, topic_6:0.070"
Star Wars Battlefront II,"topic_0:0.312, topic_1:0.134, topic_4:0.120, topic_5:0.095, topic_3:0.083"
Street Fighter V,"topic_0:0.215, topic_1:0.149, topic_4:0.131, topic_8:0.130, topic_2:0.111"
Super Meat Boy,"topic_0:0.232, topic_8:0.184, topic_2:0.164, topic_4:0.126, topic_1:0.109"
The Binding of Isaac: Repentance,"topic_0:0.300, topic_4:0.177, topic_2:0.138, topic_5:0.098, topic_1:0.098"
The Lord of the Rings: Gollum,"topic_8:0.188, topic_4:0.171, topic_1:0.147, topic_0:0.143, topic_6:0.116"
Valorant,"topic_1:0.576, topic_5:0.091, topic_0:0.078, topic_8:0.069, topic_2:0.065"
War Thunder,"topic_0:0.287, topic_2:0.153, topic_5:0.141, topic_1:0.119, topic_6:0.092"
Warcraft III: Reforged,"topic_1:0.360, topic_8:0.171, topic_5:0.114, topic_4:0.093, topic_6:0.080"
