game_name,top_topics
APEX Legends,"topic_0:0.297, topic_6:0.182, topic_5:0.131, topic_4:0.130, topic_1:0.086"
Anthem,"topic_7:0.613, topic_0:0.110, topic_4:0.097, topic_1:0.058, topic_6:0.037"
Assasin's Creed Unity,"topic_7:0.312, topic_4:0.222, topic_0:0.215, topic_1:0.057, topic_2:0.055"
Baldur's Gate 3,"topic_7:0.322, topic_0:0.234, topic_3:0.113, topic_4:0.088, topic_6:0.072"
Batman: Arkham Knight,"topic_0:0.282, topic_7:0.244, topic_2:0.140, topic_3:0.081, topic_4:0.075"
Battlefield 2042,"topic_4:0.253, topic_0:0.226, topic_7:0.200, topic_6:0.083, topic_5:0.080"
Battlefield 4,"topic_4:0.324, topic_0:0.214, topic_7:0.177, topic_5:0.074, topic_6:0.051"
Call of Duty: Modern Warfare III,"topic_0:0.299, topic_7:0.240, topic_4:0.144, topic_6:0.106, topic_5:0.071"
Call of Duty: Warzone,"topic_0:0.399, topic_4:0.205, topic_6:0.088, topic_7:0.080, topic_5:0.070"
Counter_Strike 2,"topic_0:0.488, topic_5:0.119, topic_4:0.111, topic_6:0.059, topic_1:0.057"
Crash Bandicoot 4: It’s About Time,"topic_7:0.435, topic_0:0.190, topic_4:0.117, topic_2:0.065, topic_6:0.056"
Cuphead,"topic_0:0.381, topic_7:0.189, topic_2:0.113, topic_3:0.067, topic_4:0.067"
Cyberpunk 2077,"topic_7:0.312, topic_0:0.234, topic_4:0.148, topic_3:0.081, topic_2:0.078"
DOTA 2,"topic_0:0.430, topic_5:0.169, topic_4:0.093, topic_7:0.073, topic_6:0.059"
Dark Souls (Remastered),"topic_0:0.305, topic_7:0.262, topic_2:0.106, topic_3:0.087, topic_1:0.069"
Delta Force (2024),"topic_0:0.242, topic_7:0.203, topic_4:0.191, topic_5:0.143, topic_6:0.076"
Devil May Cry 5,"topic_0:0.338, topic_7:0.236, topic_3:0.106, topic_1:0.069, topic_6:0.056"
EA SPORTS FC™ 25,"topic_0:0.239, topic_4:0.229, topic_6:0.216, topic_5:0.130, topic_7:0.064"
Escape From Tarkov,"topic_6:0.315, topic_4:0.184, topic_7:0.154, topic_5:0.109, topic_0:0.098"
Fallout 76,"topic_7:0.350, topic_4:0.193, topic_0:0.164, topic_6:0.105, topic_1:0.050"
Fortnite,"topic_7:0.323, topic_6:0.201, topic_0:0.142, topic_5:0.117, topic_4:0.107"
Furi,"topic_7:0.467, topic_0:0.155, topic_6:0.076, topic_2:0.067, topic_5:0.065"
Genshin Impact,"topic_7:0.462, topic_6:0.217, topic_0:0.078, topic_4:0.056, topic_5:0.055"
Getting Over It with Bennett Foddy,"topic_0:0.478, topic_7:0.140, topic_2:0.070, topic_4:0.069, topic_5:0.059"
Halo: The Master Chief Collection,"topic_0:0.229, topic_7:0.216, topic_4:0.187, topic_1:0.105, topic_6:0.073"
Helldivers 2,"topic_1:0.292, topic_4:0.182, topic_3:0.177, topic_0:0.124, topic_7:0.079"
Hogwarts Legacy,"topic_7:0.437, topic_4:0.227, topic_0:0.122, topic_2:0.052, topic_6:0.047"
Jump King,"topic_0:0.449, topic_7:0.157, topic_5:0.075, topic_4:0.068, topic_3:0.068"
League of Legends,"topic_8:0.273, topic_5:0.199, topic_6:0.148, topic_0:0.112, topic_7:0.088"
Mass Effect: Andromeda,"topic_7:0.611, topic_4:0.113, topic_0:0.091, topic_6:0.045, topic_2:0.037"
Mighty No. 9,"topic_7:0.451, topic_0:0.200, topic_6:0.073, topic_4:0.069, topic_3:0.049"
Mortal Shell,"topic_7:0.541, topic_0:0.147, topic_2:0.085, topic_4:0.056, topic_5:0.045"
No Man's Sky,"topic_7:0.367, topic_4:0.187, topic_0:0.147, topic_6:0.087, topic_3:0.081"
Overwatch 2,"topic_5:0.239, topic_0:0.203, topic_6:0.170, topic_8:0.137, topic_7:0.083"
PUBG: Battlegrounds,"topic_0:0.343, topic_4:0.171, topic_5:0.128, topic_6:0.099, topic_7:0.086"
PalWorld,"topic_7:0.260, topic_0:0.214, topic_2:0.148, topic_4:0.140, topic_6:0.065"
Rainbow 6: Siege,"topic_0:0.508, topic_4:0.113, topic_5:0.101, topic_7:0.055, topic_1:0.054"
Sekiro: Shadows Die Twice,"topic_0:0.336, topic_7:0.259, topic_3:0.097, topic_2:0.077, topic_4:0.056"
SimCity (2013),"topic_7:0.500, topic_6:0.241, topic_4:0.115, topic_0:0.065, topic_1:0.026"
Star Wars Battlefront II,"topic_0:0.288, topic_4:0.176, topic_7:0.149, topic_5:0.098, topic_3:0.075"
Street Fighter V,"topic_7:0.247, topic_0:0.186, topic_1:0.134, topic_4:0.129, topic_6:0.103"
Super Meat Boy,"topic_0:0.333, topic_7:0.229, topic_2:0.097, topic_3:0.085, topic_4:0.078"
The Binding of Isaac: Repentance,"topic_0:0.382, topic_7:0.161, topic_4:0.125, topic_1:0.072, topic_8:0.064"
The Lord of the Rings: Gollum,"topic_7:0.363, topic_0:0.262, topic_4:0.153, topic_2:0.055, topic_1:0.045"
Valorant,"topic_5:0.360, topic_6:0.183, topic_7:0.153, topic_0:0.141, topic_4:0.081"
War Thunder,"topic_0:0.425, topic_5:0.111, topic_6:0.110, topic_7:0.084, topic_4:0.072"
Warcraft III: Reforged,"topic_7:0.352, topic_6:0.209, topic_4:0.134, topic_5:0.086, topic_0:0.070"
